NU_INSCRICAO,NU_NOTA_MT
c363bec718e45cd6bf8cba599cc3990d77f95c22,738.0642371497482
084d4e847b3809c6ee6622dd2e095156230f471b,702.752106061207
328ca19128d276eb4fbc309c54ec7f346c803d2f,693.3372690315837
e6375694613198f8db0720d7a8a04d8263116116,684.6201734786385
34333ed47110024961ff7a95cc92900ab6fbdd33,689.6107723526779
e6c93e838e090b96a97db0a212e3d5ad7e67a8c4,683.8096222445238
890014a4e63d88574c62197a24fd43ba5749db83,737.506919761692
d3b6eab5a3d56dc9823cf355b3ac1f647378fd4c,648.9060995112853
ef5f221a0c4ed1747aa949dba2f629e98f3a9438,712.964216365706
c759ad904d22197f1cf3b5ef9e41ee1609513cea,676.7440299254779
1c6cbf69a4c9bb53f3ca9c5417965c00e9f4404c,659.2333634265235
fe8333dd7a48c2c6da19394b93e6413b2d969588,654.9752893677922
9027f65d4e576928ca59690c280050c53d66506a,664.1724174927261
6d4bee056abcea733d36060113427081daae72d1,696.30090487893
687448d804c924b64fb61ba94b1846007d6ab904,646.4634181411265
34d6082a74330b3f5bc565fc573674afaa03f661,692.6502156659737
7a5c90afaff8a6169ef1ea72181606d79b9d6378,649.5667413980391
bb4ec0a4a66bea29328f27b05364af97a510cee0,694.476486652403
45eab0d008b4971810ca4b2d7b735916d9991a9a,638.1885366450731
b434f8f1723aa06a245cc52f60dbe0036d00d227,668.4802107545379
