NU_INSCRICAO,NU_NOTA_MT
c363bec718e45cd6bf8cba599cc3990d77f95c22,707.9508171351855
328ca19128d276eb4fbc309c54ec7f346c803d2f,689.3458966503822
084d4e847b3809c6ee6622dd2e095156230f471b,669.1609232062748
e6375694613198f8db0720d7a8a04d8263116116,663.8949331917918
34333ed47110024961ff7a95cc92900ab6fbdd33,669.5736898302201
d3b6eab5a3d56dc9823cf355b3ac1f647378fd4c,639.8754733442979
ef5f221a0c4ed1747aa949dba2f629e98f3a9438,692.8919701143241
1c6cbf69a4c9bb53f3ca9c5417965c00e9f4404c,649.2181226387061
e6c93e838e090b96a97db0a212e3d5ad7e67a8c4,639.0116839404484
890014a4e63d88574c62197a24fd43ba5749db83,694.1057268835376
687448d804c924b64fb61ba94b1846007d6ab904,635.3794688383233
c759ad904d22197f1cf3b5ef9e41ee1609513cea,650.1755516628664
7a5c90afaff8a6169ef1ea72181606d79b9d6378,659.140532616167
45eab0d008b4971810ca4b2d7b735916d9991a9a,653.4043160185018
9027f65d4e576928ca59690c280050c53d66506a,637.2607609648587
fe8333dd7a48c2c6da19394b93e6413b2d969588,615.1018596175047
b434f8f1723aa06a245cc52f60dbe0036d00d227,668.859288826332
729dbf9ac607943285cf9cabf80503f9e1112cb0,623.5004358284422
6d4bee056abcea733d36060113427081daae72d1,632.5540884634964
e7cfbcd18b8d3896bbe80fa618467f11c1e5c119,656.6536141136216
